ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"159.223.173.237","elite","AS14061","US","DigitalOcean, LLC","114","DigitalOcean, LLC","12057","socks5","4896","1","2023-10-13T14:55:16.679Z","88","3781","4318"
"193.8.87.43","elite","AS197698","CZ","D-H-T SYSTEMS s.r.o.","30","D-H-T SYSTEMS s.r.o","4444","socks4","778","1","2023-10-13T14:55:16.676Z","100","4248","4251"
"159.192.143.241","elite","AS131090","TH","CAT-BB","292","N/A","4153","socks4","4009","1","2023-10-13T14:55:16.679Z","96","4198","4353"
"168.227.158.85","elite","AS52898","BR","Multipla Serviços Inteligentes","203","Multipla Serviços Inteligentes","4145","socks4","4985","1","2023-10-13T14:55:06.877Z","99","4315","4340"
"113.231.150.20","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","292","N/A","1080","socks4","4194","1","2023-10-13T14:55:06.874Z","66","2845","4296"
"45.8.105.194","elite","AS209242","DE","Cloudflare London, LLC","11","Araxio Development N.V","80","socks4","4318","1","2023-10-13T14:55:06.876Z","100","4236","4236"
"47.243.95.228","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","300","Alibaba.com LLC","10080","socks5","5004","1","2023-10-13T14:54:56.894Z","99","4200","4240"
"38.127.179.140","elite","AS174","US","Cogent Communications","93","Torlandia Trading SRL","11537","socks4","4000","1","2023-10-13T14:54:56.989Z","100","4263","4269"
"132.226.7.23","elite","AS31898","JP","Oracle Corporation","232","Oracle Cloud Infrastructure (ap-tokyo-1)","30277","socks4","5396","1","2023-10-13T14:54:56.975Z","30","1322","4352"
"58.35.206.18","elite","AS4812","CN","China Telecom (Group)","286","Chinanet SH","4145","socks4","4607","1","2023-10-13T14:54:56.892Z","74","3183","4310"
"212.83.162.168","elite","AS12876","FR","Online","1","Free SAS","2019","socks4","4709","1","2023-10-13T14:54:56.895Z","91","3981","4362"
"139.159.48.155","elite","AS63199","CN","CDS Global Cloud Co., Ltd","142","Beijing capitalonline data service co., LTD","39593","socks4","4911","1","2023-10-13T14:54:56.975Z","99","4290","4326"
"202.141.233.166","elite","AS9260","PK","Multinet Broadband","147","Multinet Broadband","48995","socks4","4907","1","2023-10-13T14:54:56.976Z","84","3638","4313"
